Year,OBJECTID,GEOID,Tract_Label,Tract_Name,Community_Reporting_Area_Name,Community_Reporting_Area_ID,Rent_Per_SqFt,Rent_Per_Unit,YoY_Change_Percent,YoY_Change_Dollars,Cost_Category,Market_Trend,Has_Mixed_Income,PROPERTIES,Shape_Area,Shape_Length,Market_Classification
2024,4205,53033009701,97.01000213623047,Census Tract 97.01,Alki/Admiral,1.399999976158142,2.2100000381469727,1870,4.25,72,Premium,Moderate Increase,400,36,192911721184692,29764000341636,Stable Market
2024,4206,53033009600,96.0,Census Tract 96,Alki/Admiral,1.399999976158142,2.0999999046325684,1666,0.96,20,Moderate,Stable,469,35,197415016534882,207454059998832,Stable Market
2024,4165,53033012000,120.0,Census Tract 120,Arbor Heights,1.100000023841858,0.0,0,,,Budget,No Data,0,0,155609904431915,16787974281693,Stable Market
2024,4254,53033012100,121.0,Census Tract 121,Arbor Heights,1.100000023841858,0.0,0,,,Budget,No Data,0,0,185389009337463,259836162383482,Stable Market
2024,4193,53033004701,47.0099983215332,Census Tract 47.01,Ballard,10.399999618530273,3.009999990463257,2105,-1.31,-27,Premium,Stable,1473,53,603602832614136,135390476262898,Declining Market
2024,4300,53033004702,47.02000045776367,Census Tract 47.02,Ballard,10.399999618530273,3.259999990463257,1978,-1.81,-30,Premium,Stable,1748,46,2867507734375,695644967487604,Declining Market
2024,4295,53033004703,47.029998779296875,Census Tract 47.03,Ballard,10.399999618530273,3.200000047683716,1781,0.63,9,Moderate,Stable,1325,58,130309181381531,187188593915212,Stable Market
2024,4315,53033010402,104.0199966430664,Census Tract 104.02,Beacon Hill,3.5,1.9199999570846558,1459,1.05,12,Moderate,Stable,71,5,187596928948212,189250430066197,Stable Market
2024,4314,53033010401,104.01000213623047,Census Tract 104.01,Beacon Hill,3.5,0.0,0,,,Budget,No Data,0,0,17543421029068,173429302013933,Stable Market
2024,4234,53033008002,80.0199966430664,Census Tract 80.02,Belltown,13.100000381469727,3.390000104904175,2439,0.59,18,Premium,Stable,2169,18,252202980825806,799838246587977,Stable Market
2024,4288,53033008004,80.04000091552734,Census Tract 80.04,Belltown,13.100000381469727,3.0399999618530273,2353,4.83,113,Premium,Moderate Increase,1067,10,290832663348389,149449795882911,Stable Market
2024,4289,53033008003,80.02999877929688,Census Tract 80.03,Belltown,13.100000381469727,3.4100000858306885,2218,5.25,110,Premium,Significant Increase,1361,13,212204371142578,872099942149515,Stable Market
2024,4142,53033000404,4.039999961853027,Census Tract 4.04,Broadview/Bitter Lake,9.100000381469727,2.319999933242798,1881,0.0,-2,Premium,Stable,509,7,67916527237854,129625584131713,Stable Market
2024,4297,53033000403,4.03000020980835,Census Tract 4.03,Broadview/Bitter Lake,9.100000381469727,2.1600000858306885,1615,2.37,35,Moderate,Moderate Increase,454,12,788118592349243,140970266947453,Stable Market
2024,4277,53033000402,4.019999980926514,Census Tract 4.02,Broadview/Bitter Lake,9.100000381469727,2.0299999713897705,1360,1.5,19,Moderate,Stable,589,28,193622205229187,213971752981976,Stable Market
2024,4242,53033000500,5.0,Census Tract 5,Broadview/Bitter Lake,9.100000381469727,0.0,0,,,Budget,No Data,0,0,302947410541992,270945667843899,Stable Market
2024,4180,53033008401,84.01000213623047,Census Tract 84.01,Capitol Hill,6.199999809265137,3.299999952316284,2133,0.92,23,Premium,Stable,2320,26,270076660922241,927581826751285,Stable Market
2024,4264,53033007503,75.02999877929688,Census Tract 75.03,Capitol Hill,6.199999809265137,3.240000009536743,2090,-1.22,-25,Premium,Stable,1765,25,201861436813354,648438948226953,Declining Market
2024,4311,53033007502,75.0199966430664,Census Tract 75.02,Capitol Hill,6.199999809265137,3.2899999618530273,1960,1.54,30,Premium,Stable,2186,70,340050355529785,740362929266713,Stable Market
2024,4290,53033008402,84.0199966430664,Census Tract 84.02,Capitol Hill,6.199999809265137,3.1500000953674316,1946,1.94,38,Premium,Stable,2033,42,156550771533203,522086848686108,Stable Market
2024,4182,53033007501,75.01000213623047,Census Tract 75.01,Capitol Hill,6.199999809265137,3.1700000762939453,1808,0.0,4,Premium,Stable,2096,92,321051993661499,721962364175991,Stable Market
2024,4197,53033007403,74.02999877929688,Census Tract 74.03,Capitol Hill,6.199999809265137,2.8499999046325684,1714,-1.72,-32,Moderate,Stable,1574,52,12760890690918,522749528678734,Declining Market
2024,4261,53033007404,74.04000091552734,Census Tract 74.04,Capitol Hill,6.199999809265137,2.809999942779541,1636,-2.43,-38,Moderate,Moderate Decrease,1465,64,165457982751465,577569998668964,Declining Market
2024,4204,53033007405,74.05000305175781,Census Tract 74.05,Capitol Hill,6.199999809265137,2.940000057220459,1603,0.34,5,Moderate,Stable,1581,53,141897404168701,501279869002574,Stable Market
2024,4203,53033007406,74.05999755859375,Census Tract 74.06,Capitol Hill,6.199999809265137,3.049999952316284,1588,-0.97,-18,Moderate,Stable,1442,45,162344382748413,676447724113477,Declining Market
2024,4291,53033007303,73.02999877929688,Census Tract 73.03,Cascade/Eastlake,11.300000190734863,4.090000152587891,3329,3.02,100,Luxury,Moderate Increase,3277,13,337459639306641,79848635220016,Luxury Market
2024,4157,53033007302,73.0199966430664,Census Tract 73.02,Cascade/Eastlake,11.300000190734863,4.070000171661377,3293,4.36,136,Luxury,Moderate Increase,3708,10,336876926522827,780242635391176,Luxury Market
2024,4236,53033007202,72.0199966430664,Census Tract 72.02,Cascade/Eastlake,11.300000190734863,4.010000228881836,2938,2.04,54,Luxury,Moderate Increase,2195,14,302007566329956,759170188344636,Luxury Market
2024,4266,53033007203,72.02999877929688,Census Tract 72.03,Cascade/Eastlake,11.300000190734863,3.7699999809265137,2688,1.07,29,Luxury,Stable,2696,19,623880494293213,124939648041578,Luxury Market
2024,4237,53033007301,73.01000213623047,Census Tract 73.01,Cascade/Eastlake,11.300000190734863,3.4800000190734863,2451,6.75,153,Premium,Significant Increase,2356,17,269934410806274,742261069281975,Stable Market
2024,4265,53033007201,72.01000213623047,Census Tract 72.01,Cascade/Eastlake,11.300000190734863,3.309999942779541,2195,0.61,15,Premium,Stable,2595,17,162255890014648,58732165106452,Stable Market
2024,4228,53033006600,66.0,Census Tract 66,Cascade/Eastlake,11.300000190734863,2.930000066757202,1953,0.69,17,Premium,Stable,1823,86,111102968534851,219951062951424,Stable Market
2024,4296,53033001000,10.0,Census Tract 10,Cedar Park/Meadowbrook,8.300000190734863,2.2300000190734863,1703,6.7,110,Moderate,Significant Increase,122,5,102702716852112,131470305998084,Stable Market
2024,4192,53033000102,1.0199999809265137,Census Tract 1.02,Cedar Park/Meadowbrook,8.300000190734863,2.4100000858306885,1687,0.84,4,Moderate,Stable,1156,18,154468214830017,195523623304664,Stable Market
2024,4217,53033000101,1.0099999904632568,Census Tract 1.01,Cedar Park/Meadowbrook,8.300000190734863,2.190000057220459,1560,1.39,19,Moderate,Stable,1342,34,446505888146973,866207421505589,Stable Market
2024,4276,53033000900,9.0,Census Tract 9,Cedar Park/Meadowbrook,8.300000190734863,0.0,0,,,Budget,No Data,0,0,100311588856812,208281661958069,Stable Market
2024,4169,53033000800,8.0,Census Tract 8,Cedar Park/Meadowbrook,8.300000190734863,0.0,0,,,Budget,No Data,0,0,122908100239868,153120874645944,Stable Market
2024,4156,53033007902,79.0199966430664,Census Tract 79.02,Central Area/Squire Park,5.300000190734863,3.069999933242798,2104,2.33,47,Premium,Moderate Increase,1212,22,464163780010986,971512087740264,Stable Market
